s,l,n,m,metric,q,d_L,d_dec,d_bnd,n_sdp,tau,c,delta,alpha,r,status,runtime_s,solver,solver_status,c_floor,cond_P
2,2,2,2,q,0,6,14,10,6612,0.0001,1.0,1/250,-0.01106898943842613,0.011068989439887534,certified,16.955807000398636,mosek,optimal,,
0,3,2,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.01812532414873891,0.018125324185056347,certified,0.8157480005174875,mosek,optimal,,
1,3,2,2,q,0,4,8,4,1162,0.0001,1.0,1/250,-0.013179294604462433,0.013179294604292123,certified,2.587076500058174,mosek,optimal,,
2,3,2,2,q,0,6,14,6,4356,0.0001,1.0,1/250,-0.01005472152071929,0.010054721520369745,certified,10.305958500131965,mosek,optimal,,
0,1,3,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.02165013767869034,0.02165013767391993,certified,0.9897456001490355,mosek,optimal,,
1,1,3,2,q,0,2,10,6,2242,0.0001,1.0,1/250,-0.012854310507712713,0.012854310508015263,certified,3.452293299138546,mosek,optimal,,
2,1,3,2,q,0,6,14,6,4356,0.0001,1.0,1/250,-0.008792303043183819,0.008792303041742923,certified,8.467005399987102,mosek,optimal,,
0,2,3,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.016514006142175575,0.016514006144135642,certified,0.8402028996497393,mosek,optimal,,
1,2,3,2,q,0,4,8,4,1162,0.0001,1.0,1/250,-0.011564122667080456,0.01156412266634503,certified,2.9086512997746468,mosek,optimal,,
2,2,3,2,q,0,6,14,10,6612,0.0001,1.0,1/250,-0.008540398801108795,0.008540398810404371,certified,15.35516620054841,mosek,optimal,,
0,3,3,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.011809739086663051,0.0118097390868562,certified,0.7659240998327732,mosek,optimal,,
1,3,3,2,q,0,2,10,6,2242,0.0001,1.0,1/250,-0.009046081587970989,0.009046081587725865,certified,3.0225512012839317,mosek,optimal,,
2,3,3,2,q,0,6,14,6,4356,0.0001,1.0,1/250,-0.0071408529741863735,0.007140852974186308,certified,10.501444699242711,mosek,optimal,,
0,1,4,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.017262029059925355,0.017262029059702397,certified,0.9513454996049404,mosek,optimal,,
1,1,4,2,q,0,4,8,6,1678,0.0001,1.0,1/250,-0.010873073505689973,0.010873073509239087,certified,3.7066860999912024,mosek,optimal,,
2,1,4,2,q,0,6,14,6,4356,0.0001,1.0,1/250,-0.007506638887821548,0.007506638887228574,certified,10.966574998572469,mosek,optimal,,
0,2,4,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.01120793223416916,0.011207932235351369,certified,1.0379763003438711,mosek,optimal,,
1,2,4,2,q,0,2,10,6,2242,0.0001,1.0,1/250,-0.00829042007054287,0.00829042007073902,certified,3.6535525992512703,mosek,optimal,,
2,2,4,2,q,0,6,14,6,4356,0.0001,1.0,1/250,-0.006359326823990541,0.006359326822791248,certified,10.171427499502897,mosek,optimal,,
0,3,4,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.007668006039709296,0.007668006043004895,certified,0.785775201395154,mosek,optimal,,
1,3,4,2,q,0,2,10,2,1453,0.0001,1.0,1/250,-0.006169915823310279,0.006169915826115747,certified,1.825263699516654,mosek,optimal,,
2,3,4,2,q,0,4,10,4,1733,0.0001,1.0,1/250,-0.0050663911023165475,0.005066391103365393,certified,3.4342165999114513,mosek,optimal,,
